,Unnamed: 0,CUST NO.,XCOORD,YCOORD,DEMAND,DEMAND1,DEMAND2,DEMAND3,DEMAND4,DEMAND5,READY TIME,DUE DATE,SERVICE TIME
67,67,68,47,40,10,0,0,0,0,10,12,77,10
68,68,69,45,30,10,0,0,10,0,0,734,777,10
69,69,70,45,35,10,0,10,0,0,0,916,969,10
70,70,71,95,30,30,0,0,30,0,0,387,456,30
71,71,72,95,35,20,0,20,0,0,0,293,360,20
72,72,73,53,30,10,10,0,0,0,0,450,505,10
73,73,74,92,30,10,0,0,0,10,0,478,551,10
74,74,75,53,35,50,0,0,0,0,50,353,412,50
75,75,76,45,65,20,0,0,20,0,0,997,1068,20
76,76,77,90,35,10,0,0,10,0,0,203,260,10
77,77,78,88,30,10,0,0,0,10,0,574,643,10
78,78,79,88,35,20,0,20,0,0,0,109,170,20
79,79,80,87,30,10,0,0,0,0,10,668,731,10
80,80,81,85,25,10,0,0,0,10,0,769,820,10
81,81,82,85,35,30,0,0,30,0,0,47,124,30
82,82,83,75,55,20,0,0,0,20,0,369,420,20
83,83,84,72,55,10,0,0,0,10,0,265,338,10
84,84,85,70,58,20,0,20,0,0,0,458,523,20
85,85,86,68,60,30,0,30,0,0,0,555,612,30
86,86,87,66,55,10,0,0,0,0,10,173,238,10
87,87,88,65,55,20,0,20,0,0,0,85,144,20
88,88,89,65,60,30,0,0,30,0,0,645,708,30
89,89,90,63,58,10,0,0,10,0,0,737,802,10
90,90,91,60,55,10,0,0,0,0,10,20,84,10
91,91,92,60,60,10,0,0,0,10,0,836,889,10
92,92,93,67,85,20,20,0,0,0,0,368,441,20
93,93,94,65,85,40,40,0,0,0,0,475,518,40
94,94,95,65,82,10,0,0,0,0,10,285,336,10
95,95,96,62,80,30,0,0,0,30,0,196,239,30
96,96,97,60,80,10,0,10,0,0,0,95,156,10
97,97,98,60,85,30,0,0,0,30,0,561,622,30
98,98,99,58,75,20,0,0,0,0,20,30,84,20
99,99,100,55,80,10,0,0,0,0,10,743,820,10
100,100,101,55,85,20,0,0,0,20,0,647,726,20
